pergaminho,nro_guerreiros,maior_dono_terras,terras
caso04a.txt,60,Gorpanulaanix,7604
caso04B.txt,39,Retumiatox,9413
caso04c.txt,28,Gorgagertrax,12442
caso05a.txt,70,Pacunnaargex,8887
caso05b.txt,183,Biromoncratriptix,6938
caso05c.txt,116,Cridenaarnax,6759
caso06a.txt,271,Rimplivix,10434
caso06B.txt,125,Frinvalrix,9081
caso06c.txt,149,Klounnvercapclox,6344
caso07a.txt,175,Nepcriclox,8480
caso07b.txt,295,Krahiblepgnilax,8630
caso07c.txt,834,Atricricaptox,9581
caso08a.txt,674,Flermonratox,10772
caso08b.txt,1308,Altverpex,8267
caso08c.txt,175,Frinulapix,7501
caso09a.txt,3372,Mirtvinaarcappox,6507
caso09b.txt,3260,Docmonmonflex,8513
caso09c.txt,892,Mirtdriuladenpix,9792
caso10a.txt,1953,Morgstigamoccynax,8032
caso10b.txt,4038,Klocinblomicpix,7590
caso10c.txt,9117,Furganrix,8673
